"""'Job""","""'Workflow""","""'Total minutes""","""'Job runs""","""'Runner type""","""'Runner labels"""
"""'model-unittest-gpu-ci""","""'.github/workflows/model-unittest-gpu.yml""",3265,143,"""'self-hosted""","""'ernie-8gpu"""
"""'unittest-gpu-ci""","""'.github/workflows/unittest-gpu.yml""",1633,164,"""'self-hosted""","""'ernie-8gpu"""
"""'Lint""","""'.github/workflows/lint.yml""",1112,248,"""'self-hosted""","""'self-hosted, ernie-cpu"""
"""'unittest-gpu-ci""","""'.github/workflows/unittest-gpu.yml""",362,21,"""'self-hosted""","""'ernie-8gpu-1"""
"""'upload-coverage""","""'.github/workflows/unittest-gpu.yml""",106,106,"""'hosted""","""'ubuntu-latest"""
"""'review_request""","""'.github/workflows/requirements-review.yml""",38,38,"""'hosted""","""'ubuntu-latest"""
"""'build-ce""","""'.github/workflows/ce-build-wh.yml""",35,35,"""'self-hosted""","""'self-hosted, paddleformers"""
"""'re-run""","""'.github/workflows/rerun.yml""",12,12,"""'hosted""","""'ubuntu-latest"""
"""'stale""","""'.github/workflows/stale.yml""",4,4,"""'hosted""","""'ubuntu-24.04"""
