"""'Job""","""'Workflow""","""'Failure rate""","""'Avg run time""","""'Avg queue time""","""'Runner type""","""'Runner labels""","""'Job runs"""
"""'Cancel CI-Windows for 76685""","""'.github/workflows/cancel-windows.yml""",0.00,3897,2814,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76716""","""'.github/workflows/cancel-coverage.yml""",0.00,3892,2294,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76681""","""'.github/workflows/cancel-coverage.yml""",0.00,3891,2570,"""'hosted""","""'ubuntu-latest""",1
"""'Remove skip-ci labels on new commits""","""'.github/workflows/remove-skip-ci-labels.yml""",0.00,3887,2807,"""'hosted""","""'ubuntu-latest""",150
"""'Cancel CI-Build for 76680""","""'.github/workflows/cancel-CI-build.yml""",0.00,3885,2656,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76723""","""'.github/workflows/cancel-CI.yml""",0.00,3881,2737,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76639""","""'.github/workflows/cancel-coverage.yml""",0.00,3876,3006,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76693""","""'.github/workflows/cancel-CI-build.yml""",0.00,3875,5606,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76553""","""'.github/workflows/cancel-coverage.yml""",0.00,3857,5106,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76730""","""'.github/workflows/cancel-coverage.yml""",0.00,3832,2265,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76717""","""'.github/workflows/cancel-CI-build.yml""",0.00,3824,2291,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76704""","""'.github/workflows/cancel-CI-build.yml""",0.00,3821,3109,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76707""","""'.github/workflows/cancel-coverage.yml""",0.00,3814,2469,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76677""","""'.github/workflows/cancel-CI-build.yml""",0.00,3810,2796,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76549""","""'.github/workflows/cancel-CI.yml""",0.00,3797,5987,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76661""","""'.github/workflows/cancel-coverage.yml""",0.00,3795,7384,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76681""","""'.github/workflows/cancel-windows.yml""",0.00,3793,2715,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76730""","""'.github/workflows/cancel-windows.yml""",0.00,3792,2151,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76690""","""'.github/workflows/cancel-CI-build.yml""",0.00,3789,5752,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76723""","""'.github/workflows/cancel-windows.yml""",0.00,3788,2374,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76660""","""'.github/workflows/cancel-CI.yml""",0.00,3788,2789,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76687""","""'.github/workflows/cancel-windows.yml""",0.00,3782,2405,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76742""","""'.github/workflows/cancel-coverage.yml""",0.00,3781,2268,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76679""","""'.github/workflows/cancel-windows.yml""",0.00,3773,2325,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76717""","""'.github/workflows/cancel-coverage.yml""",0.00,3773,2363,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76741""","""'.github/workflows/cancel-windows.yml""",0.00,3771,1958760,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76652""","""'.github/workflows/cancel-CI.yml""",0.00,3765,5698,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76704""","""'.github/workflows/cancel-windows.yml""",0.00,3763,3033,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76740""","""'.github/workflows/cancel-windows.yml""",0.00,3763,2655,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76671""","""'.github/workflows/cancel-CI-build.yml""",0.00,3761,2694,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76727""","""'.github/workflows/cancel-windows.yml""",0.00,3760,2803,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76690""","""'.github/workflows/cancel-windows.yml""",0.00,3758,2798,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76606""","""'.github/workflows/cancel-CI.yml""",0.00,3747,3042,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76576""","""'.github/workflows/cancel-coverage.yml""",0.00,3732,3489,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76742""","""'.github/workflows/cancel-CI-build.yml""",0.00,3730,2232,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76667""","""'.github/workflows/cancel-windows.yml""",0.00,3728,3172,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76744""","""'.github/workflows/cancel-CI.yml""",0.00,3723,2976,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76719""","""'.github/workflows/cancel-CI.yml""",0.00,3722,2893,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76552""","""'.github/workflows/cancel-coverage.yml""",0.00,3718,2489,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76695""","""'.github/workflows/cancel-CI.yml""",0.00,3716,3177,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76684""","""'.github/workflows/cancel-windows.yml""",0.00,3715,3028,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76713""","""'.github/workflows/cancel-CI.yml""",0.00,3712,2963,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76680""","""'.github/workflows/cancel-windows.yml""",0.00,3702,2964,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76737""","""'.github/workflows/cancel-CI-build.yml""",0.00,3695,4036,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76719""","""'.github/workflows/cancel-CI-build.yml""",0.00,3694,2088,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76746""","""'.github/workflows/cancel-coverage.yml""",0.00,3666,2079,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76720""","""'.github/workflows/cancel-coverage.yml""",0.00,3664,2172,"""'hosted""","""'ubuntu-latest""",1
