"""'Job""","""'Workflow""","""'Total minutes""","""'Job runs""","""'Runner type""","""'Runner labels"""
"""'Cancel CI for 76745""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76740""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76740""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76740""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76740""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76555""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76555""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Slice test / Check bypass / Check bypass""","""'.github/workflows/Slice-torch.yml""",1,1,"""'self-hosted""","""'"""
"""'Cancel CI-Windows for 75879""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 75879""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 75879""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 75879""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76706""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76706""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76706""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76706""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76555""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76713""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76713""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76713""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76713""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76555""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76741""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76741""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76741""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76741""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76549""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76680""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76680""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76549""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76684""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76549""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76680""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76712""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76549""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76680""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76712""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76684""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76712""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76684""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76684""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76712""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76690""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76690""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76690""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76690""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76661""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76661""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76652""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76652""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76661""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76652""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76661""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76730""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76652""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76664""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76674""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76664""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76664""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76606""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76674""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76664""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76656""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76674""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76674""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76606""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76606""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76730""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76678""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76678""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76606""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76730""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76678""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76656""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76678""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76656""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76656""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76686""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76686""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76686""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76686""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76716""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76651""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76651""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76716""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76651""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76651""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76716""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76716""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76553""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76719""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76553""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76719""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76553""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76719""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76719""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76553""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76693""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76693""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76693""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76693""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76698""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76698""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76698""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76698""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76752""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76752""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76752""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76752""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76677""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76726""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76709""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76677""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76709""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76709""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76677""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76726""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76709""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76726""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76726""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76677""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
